symbol,EBITDA,totalDebt,totalAssets,shareholderEquity,netIncome,cashFlow,totalRevenue,peRatio,marketCap,sector,2 cluster class,2 clusters noMC class,4 clusters class,5 clusters class
HLF,216000000,2762700000,2853000000,-1333400000,117400000,88000000,1430900000,10.65,5075136864,staples,0,0,3,2
SAM,-7408000,0,1463526000,1029378000,-58421000,19978000,599971000,56.72,4629994611,staples,0,0,3,2
SPB,-410800000,5012600000,10680800000,2943800000,100400000,559000000,-919000000,10.49,3926535913,staples,0,0,3,2
BYND,-42369000,1129361000,1432374000,207105000,-54816000,-70602000,106432000,-30.01,3891413641,staples,0,0,3,2
FRPT,6367000,0,758327000,723518000,-2070000,-9205000,107590000,-155.54,3843528896,staples,0,0,3,2
HAIN,26920000,345749000,2142265000,1348756000,19411000,37586000,454903000,37.65,3419119598,staples,0,0,3,2
GO,43638000,450860000,2617668000,994031000,17139000,56626000,768880000,31.07,17609276470,staples,0,0,3,2
REYN,133000000,2117000000,4733000000,1694000000,66000000,104000000,905000000,31.23,2400426075,staples,0,0,3,2
PPC,212853000,3280659000,8832843000,2604243000,60725000,212543000,3827566000,41.98,13150448986,staples,0,0,3,2
SEB,155000000,1184000000,7257000000,4273000000,94000000,164000000,2276000000,19.69,6524599482,staples,0,0,3,2
EL,1124000000,5548000000,21580000000,6081000000,692000000,-81000000,4392000000,-1182.83,6715697386,staples,0,0,3,2
ABEV,961177449.9,598149823.5,24952120681,16022176262,655963217.9,1101449518,3414627841,6.14,4381151395,staples,0,0,3,2
